Hidro,Bloque,TipoEtapa,BarNum,BarNom,CMgBar,DemBarP,DemBarE,PerBarP,PerBarE,BarRetP,BarRetE
Sim  1,   1,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   2,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   3,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   4,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   5,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   6,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   7,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   8,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   9,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  10,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  11,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  12,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  13,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  14,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  15,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  16,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  17,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  18,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  19,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  20,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  21,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  22,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  23,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  24,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   1,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   2,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   3,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   4,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   5,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   6,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   7,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   8,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   9,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  10,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  11,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  12,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  13,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  14,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  15,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  16,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  17,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  18,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  19,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  20,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  21,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  22,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  23,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  24,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   1,Stage01     ,   3,b3                                              ,     20.04,     30.00,          0.030,          0.000,          0.000,        601.310,          0.601
Sim  1,   2,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
Sim  1,   3,Stage01     ,   3,b3                                              ,     20.04,     27.00,          0.027,          0.000,          0.000,        541.179,          0.541
Sim  1,   4,Stage01     ,   3,b3                                              ,     20.04,     27.00,          0.027,          0.000,          0.000,        541.179,          0.541
Sim  1,   5,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
Sim  1,   6,Stage01     ,   3,b3                                              ,     20.04,     32.00,          0.032,          0.000,          0.000,        641.397,          0.641
Sim  1,   7,Stage01     ,   3,b3                                              ,     20.04,     40.00,          0.040,          0.000,          0.000,        801.746,          0.802
Sim  1,   8,Stage01     ,   3,b3                                              ,     20.04,     55.00,          0.055,          0.000,          0.000,       1102.401,          1.102
Sim  1,   9,Stage01     ,   3,b3                                              ,     20.04,     70.00,          0.070,          0.000,          0.000,       1403.056,          1.403
Sim  1,  10,Stage01     ,   3,b3                                              ,     20.04,     80.00,          0.080,          0.000,          0.000,       1603.493,          1.603
Sim  1,  11,Stage01     ,   3,b3                                              ,     20.04,     85.00,          0.085,          0.000,          0.000,       1703.711,          1.704
Sim  1,  12,Stage01     ,   3,b3                                              ,     20.04,     88.00,          0.088,          0.000,          0.000,       1763.842,          1.764
Sim  1,  13,Stage01     ,   3,b3                                              ,     20.04,     90.00,          0.090,          0.000,          0.000,       1803.929,          1.804
Sim  1,  14,Stage01     ,   3,b3                                              ,     20.04,     88.00,          0.088,          0.000,          0.000,       1763.842,          1.764
Sim  1,  15,Stage01     ,   3,b3                                              ,     20.04,     84.00,          0.084,          0.000,          0.000,       1683.667,          1.684
Sim  1,  16,Stage01     ,   3,b3                                              ,     20.04,     80.00,          0.080,          0.000,          0.000,       1603.493,          1.603
Sim  1,  17,Stage01     ,   3,b3                                              ,     20.04,     82.00,          0.082,          0.000,          0.000,       1643.580,          1.644
Sim  1,  18,Stage01     ,   3,b3                                              ,     20.04,     88.00,          0.088,          0.000,          0.000,       1763.842,          1.764
Sim  1,  19,Stage01     ,   3,b3                                              ,     20.04,    100.00,          0.100,          0.000,          0.000,       2004.366,          2.004
Sim  1,  20,Stage01     ,   3,b3                                              ,     20.04,    110.00,          0.110,          0.000,          0.000,       2204.803,          2.205
Sim  1,  21,Stage01     ,   3,b3                                              ,     20.04,    105.00,          0.105,          0.000,          0.000,       2104.584,          2.105
Sim  1,  22,Stage01     ,   3,b3                                              ,     20.04,     95.00,          0.095,          0.000,          0.000,       1904.148,          1.904
Sim  1,  23,Stage01     ,   3,b3                                              ,     20.04,     75.00,          0.075,          0.000,          0.000,       1503.274,          1.503
Sim  1,  24,Stage01     ,   3,b3                                              ,     20.04,     50.00,          0.050,          0.000,          0.000,       1002.183,          1.002
Sim  1,   1,Stage01     ,   4,b4                                              ,     20.07,     20.00,          0.020,          0.000,          0.000,        401.409,          0.401
Sim  1,   2,Stage01     ,   4,b4                                              ,     20.07,     18.00,          0.018,          0.000,          0.000,        361.268,          0.361
Sim  1,   3,Stage01     ,   4,b4                                              ,     20.07,     17.00,          0.017,          0.000,          0.000,        341.198,          0.341
Sim  1,   4,Stage01     ,   4,b4                                              ,     20.07,     17.00,          0.017,          0.000,          0.000,        341.198,          0.341
Sim  1,   5,Stage01     ,   4,b4                                              ,     20.07,     18.00,          0.018,          0.000,          0.000,        361.268,          0.361
Sim  1,   6,Stage01     ,   4,b4                                              ,     20.07,     22.00,          0.022,          0.000,          0.000,        441.550,          0.442
Sim  1,   7,Stage01     ,   4,b4                                              ,     20.07,     28.00,          0.028,          0.000,          0.000,        561.973,          0.562
Sim  1,   8,Stage01     ,   4,b4                                              ,     20.07,     38.00,          0.038,          0.000,          0.000,        762.678,          0.763
Sim  1,   9,Stage01     ,   4,b4                                              ,     20.07,     48.00,          0.048,          0.000,          0.000,        963.382,          0.963
Sim  1,  10,Stage01     ,   4,b4                                              ,     20.07,     55.00,          0.055,          0.000,          0.000,       1103.876,          1.104
Sim  1,  11,Stage01     ,   4,b4                                              ,     20.07,     58.00,          0.058,          0.000,          0.000,       1164.087,          1.164
Sim  1,  12,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
Sim  1,  13,Stage01     ,   4,b4                                              ,     20.07,     62.00,          0.062,          0.000,          0.000,       1244.369,          1.244
Sim  1,  14,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
Sim  1,  15,Stage01     ,   4,b4                                              ,     20.07,     57.00,          0.057,          0.000,          0.000,       1144.017,          1.144
Sim  1,  16,Stage01     ,   4,b4                                              ,     20.07,     55.00,          0.055,          0.000,          0.000,       1103.876,          1.104
Sim  1,  17,Stage01     ,   4,b4                                              ,     20.07,     56.00,          0.056,          0.000,          0.000,       1123.946,          1.124
Sim  1,  18,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
Sim  1,  19,Stage01     ,   4,b4                                              ,     20.07,     68.00,          0.068,          0.000,          0.000,       1364.792,          1.365
Sim  1,  20,Stage01     ,   4,b4                                              ,     20.07,     75.00,          0.075,          0.000,          0.000,       1505.285,          1.505
Sim  1,  21,Stage01     ,   4,b4                                              ,     20.07,     72.00,          0.072,          0.000,          0.000,       1445.074,          1.445
Sim  1,  22,Stage01     ,   4,b4                                              ,     20.07,     65.00,          0.065,          0.000,          0.000,       1304.580,          1.305
Sim  1,  23,Stage01     ,   4,b4                                              ,     20.07,     50.00,          0.050,          0.000,          0.000,       1003.523,          1.004
Sim  1,  24,Stage01     ,   4,b4                                              ,     20.07,     32.00,          0.032,          0.000,          0.000,        642.255,          0.642
MEDIA ,   1,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   2,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   3,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   4,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   5,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   6,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   7,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   8,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   9,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  10,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  11,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  12,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  13,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  14,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  15,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  16,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  17,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  18,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  19,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  20,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  21,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  22,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  23,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  24,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   1,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   2,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   3,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   4,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   5,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   6,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   7,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   8,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   9,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  10,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  11,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  12,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  13,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  14,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  15,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  16,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  17,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  18,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  19,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  20,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  21,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  22,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  23,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  24,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   1,Stage01     ,   3,b3                                              ,     20.04,     30.00,          0.030,          0.000,          0.000,        601.310,          0.601
MEDIA ,   2,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
MEDIA ,   3,Stage01     ,   3,b3                                              ,     20.04,     27.00,          0.027,          0.000,          0.000,        541.179,          0.541
MEDIA ,   4,Stage01     ,   3,b3                                              ,     20.04,     27.00,          0.027,          0.000,          0.000,        541.179,          0.541
MEDIA ,   5,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
MEDIA ,   6,Stage01     ,   3,b3                                              ,     20.04,     32.00,          0.032,          0.000,          0.000,        641.397,          0.641
MEDIA ,   7,Stage01     ,   3,b3                                              ,     20.04,     40.00,          0.040,          0.000,          0.000,        801.746,          0.802
MEDIA ,   8,Stage01     ,   3,b3                                              ,     20.04,     55.00,          0.055,          0.000,          0.000,       1102.401,          1.102
MEDIA ,   9,Stage01     ,   3,b3                                              ,     20.04,     70.00,          0.070,          0.000,          0.000,       1403.056,          1.403
MEDIA ,  10,Stage01     ,   3,b3                                              ,     20.04,     80.00,          0.080,          0.000,          0.000,       1603.493,          1.603
MEDIA ,  11,Stage01     ,   3,b3                                              ,     20.04,     85.00,          0.085,          0.000,          0.000,       1703.711,          1.704
MEDIA ,  12,Stage01     ,   3,b3                                              ,     20.04,     88.00,          0.088,          0.000,          0.000,       1763.842,          1.764
MEDIA ,  13,Stage01     ,   3,b3                                              ,     20.04,     90.00,          0.090,          0.000,          0.000,       1803.929,          1.804
MEDIA ,  14,Stage01     ,   3,b3                                              ,     20.04,     88.00,          0.088,          0.000,          0.000,       1763.842,          1.764
MEDIA ,  15,Stage01     ,   3,b3                                              ,     20.04,     84.00,          0.084,          0.000,          0.000,       1683.667,          1.684
MEDIA ,  16,Stage01     ,   3,b3                                              ,     20.04,     80.00,          0.080,          0.000,          0.000,       1603.493,          1.603
MEDIA ,  17,Stage01     ,   3,b3                                              ,     20.04,     82.00,          0.082,          0.000,          0.000,       1643.580,          1.644
MEDIA ,  18,Stage01     ,   3,b3                                              ,     20.04,     88.00,          0.088,          0.000,          0.000,       1763.842,          1.764
MEDIA ,  19,Stage01     ,   3,b3                                              ,     20.04,    100.00,          0.100,          0.000,          0.000,       2004.366,          2.004
MEDIA ,  20,Stage01     ,   3,b3                                              ,     20.04,    110.00,          0.110,          0.000,          0.000,       2204.803,          2.205
MEDIA ,  21,Stage01     ,   3,b3                                              ,     20.04,    105.00,          0.105,          0.000,          0.000,       2104.584,          2.105
MEDIA ,  22,Stage01     ,   3,b3                                              ,     20.04,     95.00,          0.095,          0.000,          0.000,       1904.148,          1.904
MEDIA ,  23,Stage01     ,   3,b3                                              ,     20.04,     75.00,          0.075,          0.000,          0.000,       1503.274,          1.503
MEDIA ,  24,Stage01     ,   3,b3                                              ,     20.04,     50.00,          0.050,          0.000,          0.000,       1002.183,          1.002
MEDIA ,   1,Stage01     ,   4,b4                                              ,     20.07,     20.00,          0.020,          0.000,          0.000,        401.409,          0.401
MEDIA ,   2,Stage01     ,   4,b4                                              ,     20.07,     18.00,          0.018,          0.000,          0.000,        361.268,          0.361
MEDIA ,   3,Stage01     ,   4,b4                                              ,     20.07,     17.00,          0.017,          0.000,          0.000,        341.198,          0.341
MEDIA ,   4,Stage01     ,   4,b4                                              ,     20.07,     17.00,          0.017,          0.000,          0.000,        341.198,          0.341
MEDIA ,   5,Stage01     ,   4,b4                                              ,     20.07,     18.00,          0.018,          0.000,          0.000,        361.268,          0.361
MEDIA ,   6,Stage01     ,   4,b4                                              ,     20.07,     22.00,          0.022,          0.000,          0.000,        441.550,          0.442
MEDIA ,   7,Stage01     ,   4,b4                                              ,     20.07,     28.00,          0.028,          0.000,          0.000,        561.973,          0.562
MEDIA ,   8,Stage01     ,   4,b4                                              ,     20.07,     38.00,          0.038,          0.000,          0.000,        762.678,          0.763
MEDIA ,   9,Stage01     ,   4,b4                                              ,     20.07,     48.00,          0.048,          0.000,          0.000,        963.382,          0.963
MEDIA ,  10,Stage01     ,   4,b4                                              ,     20.07,     55.00,          0.055,          0.000,          0.000,       1103.876,          1.104
MEDIA ,  11,Stage01     ,   4,b4                                              ,     20.07,     58.00,          0.058,          0.000,          0.000,       1164.087,          1.164
MEDIA ,  12,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
MEDIA ,  13,Stage01     ,   4,b4                                              ,     20.07,     62.00,          0.062,          0.000,          0.000,       1244.369,          1.244
MEDIA ,  14,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
MEDIA ,  15,Stage01     ,   4,b4                                              ,     20.07,     57.00,          0.057,          0.000,          0.000,       1144.017,          1.144
MEDIA ,  16,Stage01     ,   4,b4                                              ,     20.07,     55.00,          0.055,          0.000,          0.000,       1103.876,          1.104
MEDIA ,  17,Stage01     ,   4,b4                                              ,     20.07,     56.00,          0.056,          0.000,          0.000,       1123.946,          1.124
MEDIA ,  18,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
MEDIA ,  19,Stage01     ,   4,b4                                              ,     20.07,     68.00,          0.068,          0.000,          0.000,       1364.792,          1.365
MEDIA ,  20,Stage01     ,   4,b4                                              ,     20.07,     75.00,          0.075,          0.000,          0.000,       1505.285,          1.505
MEDIA ,  21,Stage01     ,   4,b4                                              ,     20.07,     72.00,          0.072,          0.000,          0.000,       1445.074,          1.445
MEDIA ,  22,Stage01     ,   4,b4                                              ,     20.07,     65.00,          0.065,          0.000,          0.000,       1304.580,          1.305
MEDIA ,  23,Stage01     ,   4,b4                                              ,     20.07,     50.00,          0.050,          0.000,          0.000,       1003.523,          1.004
MEDIA ,  24,Stage01     ,   4,b4                                              ,     20.07,     32.00,          0.032,          0.000,          0.000,        642.255,          0.642
